"cps19_votechoice","cps19_citizenship","cps19_age","cps19_gender","cps19_education","cps19_employment","cps19_income_number","cps19_marital","cps19_province"
"ndp","Canadian citizen",55,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",150000,"Married","Newfoundland and Labrador"
"Liberal Party","Canadian citizen",72,"A woman","Some technical, community college, CEGEP, College Classique","Retired",56000,"Married","Ontario"
"Liberal Party","Canadian citizen",59,"A woman","Some technical, community college, CEGEP, College Classique","Disabled",35000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",63,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",147000,"Married","Alberta"
"Conservative Party","Canadian citizen",59,"A man","Some university","Working for pay full-time",49000,"Married","Quebec"
"Liberal Party","Canadian citizen",44,"A woman","Completed technical, community college, CEGEP, College Classique","Unemployed/ looking for work",26000,"Living with a partner","Newfoundland and Labrador"
"Green Party","Canadian citizen",53,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",74000,"Married","Quebec"
"Liberal Party","Canadian citizen",64,"A woman","Bachelor's degree","Retired",75000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",42,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",63000,"Separated","Newfoundland and Labrador"
"Conservative Party","Canadian citizen",43,"A man","Completed secondary/ high school","Working for pay full-time",999999999999999,"Divorced","Ontario"
"Bloc Québécois","Canadian citizen",41,"A woman","Completed secondary/ high school","Self employed (with or without employees)",35000,"Married","Quebec"
"ndp","Canadian citizen",63,"A woman","Bachelor's degree","Retired",38000,"Married","Ontario"
"Conservative Party","Canadian citizen",55,"A woman","Some technical, community college, CEGEP, College Classique","Caring for a family",52499,"Married","Ontario"
"Liberal Party","Canadian citizen",40,"A woman","Master's degree","Working for pay full-time",175000,"Married","Ontario"
"Liberal Party","Canadian citizen",72,"A man","Completed secondary/ high school","Retired",145000,"Married","Ontario"
"Liberal Party","Canadian citizen",78,"A man","Completed technical, community college, CEGEP, College Classique","Retired",78000,"Married","Quebec"
"Conservative Party","Canadian citizen",57,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",125000,"Married","Ontario"
"Conservative Party","Canadian citizen",51,"A man","Completed secondary/ high school","Disabled",21468,"Never Married","Alberta"
"Liberal Party","Canadian citizen",56,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",26000,"Married","Ontario"
"Liberal Party","Canadian citizen",36,"A woman","Bachelor's degree","Working for pay full-time",60000,"Married","Ontario"
"Conservative Party","Canadian citizen",41,"A woman","Bachelor's degree","Working for pay full-time",124000,"Married","Ontario"
"Conservative Party","Canadian citizen",55,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",135000,"Married","Alberta"
"Liberal Party","Canadian citizen",70,"A man","Bachelor's degree","Retired",68500,"Married","Quebec"
"Conservative Party","Canadian citizen",62,"A man","Master's degree","Self employed (with or without employees)",124000,"Widowed","Ontario"
"Liberal Party","Canadian citizen",41,"A man","Master's degree","Working for pay full-time",190000,"Married","Ontario"
"Green Party","Canadian citizen",55,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",120000,"Married","Ontario"
"Conservative Party","Canadian citizen",61,"A man","Completed technical, community college, CEGEP, College Classique","Retired",40000,"Married","Quebec"
"Liberal Party","Canadian citizen",68,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",81000,"Married","Ontario"
"Conservative Party","Canadian citizen",36,"A woman","Professional degree or doctorate","Working for pay full-time",130000,"Separated","Alberta"
"Green Party","Canadian citizen",59,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",55000,"Married","Quebec"
"ndp","Canadian citizen",56,"A woman","Professional degree or doctorate","Working for pay full-time",75000,"Married","Ontario"
"Liberal Party","Canadian citizen",67,"A man","Completed secondary/ high school","Retired",21000,"Divorced","Ontario"
"Conservative Party","Canadian citizen",60,"A man","Completed secondary/ high school","Disabled",9000,"Married","Ontario"
"ndp","Canadian citizen",29,"A woman","Bachelor's degree","Caring for a family",26000,"Married","Ontario"
"Conservative Party","Canadian citizen",54,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",68000,"Married","Ontario"
"Conservative Party","Canadian citizen",61,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",35000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",56,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",134000,"Never Married","Ontario"
"People's Party","Canadian citizen",59,"A woman","Completed secondary/ high school","Working for pay full-time",198000,"Married","Alberta"
"Liberal Party","Canadian citizen",61,"A man","Master's degree","Self employed (with or without employees)",60000,"Divorced","Quebec"
"Liberal Party","Canadian citizen",65,"A man","Some technical, community college, CEGEP, College Classique","Retired",60000,"Divorced","Ontario"
"Conservative Party","Canadian citizen",70,"A man","Bachelor's degree","Retired",48000,"Widowed","Ontario"
"Liberal Party","Canadian citizen",64,"A man","Completed secondary/ high school","Working for pay part-time",65000,"Divorced","Ontario"
"Conservative Party","Canadian citizen",62,"A woman","Bachelor's degree","Working for pay full-time",75000,"Married","Ontario"
"Liberal Party","Canadian citizen",27,"A man","Some technical, community college, CEGEP, College Classique","Student",50000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",71,"A man","Some secondary/ high school","Retired",50000,"Separated","Ontario"
"Liberal Party","Canadian citizen",44,"A woman","Bachelor's degree","Working for pay full-time",43000,"Living with a partner","Manitoba"
"Liberal Party","Canadian citizen",86,"A man","Completed technical, community college, CEGEP, College Classique","Retired",29000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",47,"A woman","Bachelor's degree","Working for pay full-time",70000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",71,"A man","Completed technical, community college, CEGEP, College Classique","Retired",115000,"Married","Ontario"
"Another party (please specify)","Canadian citizen",69,"A man","Bachelor's degree","Retired",170000,"Married","Quebec"
"Liberal Party","Canadian citizen",65,"A man","Professional degree or doctorate","Retired",140000,"Married","Ontario"
"Conservative Party","Canadian citizen",67,"A man","Completed elementary school","Working for pay part-time",44000,"Married","Ontario"
"Conservative Party","Canadian citizen",37,"A man","Master's degree","Working for pay full-time",58000,"Living with a partner","Quebec"
"People's Party","Canadian citizen",30,"A man","Bachelor's degree","Working for pay full-time",150000,"Married","Ontario"
"Liberal Party","Canadian citizen",45,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",110000,"Living with a partner","Quebec"
"Green Party","Canadian citizen",74,"A woman","Bachelor's degree","Retired",55000,"Married","Ontario"
"Conservative Party","Canadian citizen",80,"A woman","Some technical, community college, CEGEP, College Classique","Retired",42000,"Married","Ontario"
"Liberal Party","Canadian citizen",22,"A man","Bachelor's degree","Working for pay part-time",30000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",32,"A woman","Bachelor's degree","Working for pay full-time",105000,"Married","New Brunswick"
"Conservative Party","Canadian citizen",48,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",149000,"Married","Alberta"
"Conservative Party","Canadian citizen",61,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",103000,"Married","Alberta"
"Bloc Québécois","Canadian citizen",49,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",163000,"Married","Quebec"
"Liberal Party","Canadian citizen",61,"A woman","Some university","Retired",39000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",58,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",220000,"Married","Ontario"
"Conservative Party","Canadian citizen",64,"A woman","Bachelor's degree","Retired",55000,"Widowed","Saskatchewan"
"Conservative Party","Canadian citizen",64,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",125000,"Married","Ontario"
"Conservative Party","Canadian citizen",25,"A man","Master's degree","Working for pay full-time",120000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",54,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",40000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",45,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",60000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",57,"A man","Some technical, community college, CEGEP, College Classique","Unemployed/ looking for work",81000,"Living with a partner","Alberta"
"ndp","Canadian citizen",48,"A man","Completed secondary/ high school","Working for pay full-time",96000,"Married","Ontario"
"Conservative Party","Canadian citizen",42,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",50000,"Never Married","New Brunswick"
"Conservative Party","Canadian citizen",55,"A woman","Some university","Working for pay part-time",50000,"Married","Quebec"
"Liberal Party","Canadian citizen",61,"A man","Bachelor's degree","Retired",125000,"Married","Alberta"
